Simulation,Predicted Price,Average Return,Log Return,Simple Return
337,133.183,-0.0136078,-0.0396744,-0.0388976
338,132.382,-0.0136078,-0.0396744,-0.0388976
339,132.362,-0.0136078,-0.0396744,-0.0388976
340,133.461,-0.0136078,-0.0396744,-0.0388976
341,134.164,-0.0136078,-0.0396744,-0.0388976
342,134.153,-0.0136078,-0.0396744,-0.0388976
343,132.095,-0.0136078,-0.0396744,-0.0388976
344,133.12,-0.0136078,-0.0396744,-0.0388976
345,133.914,-0.0136078,-0.0396744,-0.0388976
346,132.763,-0.0136078,-0.0396744,-0.0388976
347,133.394,-0.0136078,-0.0396744,-0.0388976
348,134.196,-0.0136078,-0.0396744,-0.0388976
349,132.319,-0.0136078,-0.0396744,-0.0388976
350,134.013,-0.0136078,-0.0396744,-0.0388976
351,132.225,-0.0136078,-0.0396744,-0.0388976
352,132.785,-0.0136078,-0.0396744,-0.0388976
353,132.887,-0.0136078,-0.0396744,-0.0388976
354,133.217,-0.0136078,-0.0396744,-0.0388976
355,132.883,-0.0136078,-0.0396744,-0.0388976
356,133.018,-0.0136078,-0.0396744,-0.0388976
357,134.233,-0.0136078,-0.0396744,-0.0388976
358,132.407,-0.0136078,-0.0396744,-0.0388976
359,132.465,-0.0136078,-0.0396744,-0.0388976
360,133.975,-0.0136078,-0.0396744,-0.0388976
361,133.693,-0.0136078,-0.0396744,-0.0388976
362,133.78,-0.0136078,-0.0396744,-0.0388976
363,133.456,-0.0136078,-0.0396744,-0.0388976
364,133.41,-0.0136078,-0.0396744,-0.0388976
365,132.314,-0.0136078,-0.0396744,-0.0388976
366,132.764,-0.0136078,-0.0396744,-0.0388976
367,133.688,-0.0136078,-0.0396744,-0.0388976
368,133.406,-0.0136078,-0.0396744,-0.0388976
369,133.054,-0.0136078,-0.0396744,-0.0388976
370,133.959,-0.0136078,-0.0396744,-0.0388976
371,132.638,-0.0136078,-0.0396744,-0.0388976
372,132.985,-0.0136078,-0.0396744,-0.0388976
373,133.878,-0.0136078,-0.0396744,-0.0388976
374,132.64,-0.0136078,-0.0396744,-0.0388976
375,134.019,-0.0136078,-0.0396744,-0.0388976
376,133.559,-0.0136078,-0.0396744,-0.0388976
377,133.313,-0.0136078,-0.0396744,-0.0388976
378,133.181,-0.0136078,-0.0396744,-0.0388976
379,133.522,-0.0136078,-0.0396744,-0.0388976
380,133.541,-0.0136078,-0.0396744,-0.0388976
381,132.961,-0.0136078,-0.0396744,-0.0388976
382,133.656,-0.0136078,-0.0396744,-0.0388976
383,132.1,-0.0136078,-0.0396744,-0.0388976
384,133.761,-0.0136078,-0.0396744,-0.0388976
385,132.643,-0.0136078,-0.0396744,-0.0388976
386,132.889,-0.0136078,-0.0396744,-0.0388976
387,132.549,-0.0136078,-0.0396744,-0.0388976
388,132.642,-0.0136078,-0.0396744,-0.0388976
389,133.205,-0.0136078,-0.0396744,-0.0388976
390,132.923,-0.0136078,-0.0396744,-0.0388976
391,132.386,-0.0136078,-0.0396744,-0.0388976
392,132.668,-0.0136078,-0.0396744,-0.0388976
393,132.474,-0.0136078,-0.0396744,-0.0388976
394,133.751,-0.0136078,-0.0396744,-0.0388976
395,133.991,-0.0136078,-0.0396744,-0.0388976
396,132.696,-0.0136078,-0.0396744,-0.0388976
397,132.286,-0.0136078,-0.0396744,-0.0388976
398,133.445,-0.0136078,-0.0396744,-0.0388976
399,134.015,-0.0136078,-0.0396744,-0.0388976
400,133.249,-0.0136078,-0.0396744,-0.0388976
401,133.173,-0.0136078,-0.0396744,-0.0388976
402,132.421,-0.0136078,-0.0396744,-0.0388976
403,134.149,-0.0136078,-0.0396744,-0.0388976
404,132.82,-0.0136078,-0.0396744,-0.0388976
405,132.97,-0.0136078,-0.0396744,-0.0388976
406,133.935,-0.0136078,-0.0396744,-0.0388976
407,132.152,-0.0136078,-0.0396744,-0.0388976
408,134.198,-0.0136078,-0.0396744,-0.0388976
409,132.884,-0.0136078,-0.0396744,-0.0388976
410,133.582,-0.0136078,-0.0396744,-0.0388976
411,133.505,-0.0136078,-0.0396744,-0.0388976
412,133.757,-0.0136078,-0.0396744,-0.0388976
413,133.006,-0.0136078,-0.0396744,-0.0388976
414,133.512,-0.0136078,-0.0396744,-0.0388976
415,133.285,-0.0136078,-0.0396744,-0.0388976
416,133.56,-0.0136078,-0.0396744,-0.0388976
417,132.175,-0.0136078,-0.0396744,-0.0388976
418,133.746,-0.0136078,-0.0396744,-0.0388976
419,134.115,-0.0136078,-0.0396744,-0.0388976
420,133.287,-0.0136078,-0.0396744,-0.0388976
421,132.44,-0.0136078,-0.0396744,-0.0388976
422,132.268,-0.0136078,-0.0396744,-0.0388976
423,133.868,-0.0136078,-0.0396744,-0.0388976
424,132.822,-0.0136078,-0.0396744,-0.0388976
425,133.929,-0.0136078,-0.0396744,-0.0388976
426,133.625,-0.0136078,-0.0396744,-0.0388976
427,133.428,-0.0136078,-0.0396744,-0.0388976
428,134.125,-0.0136078,-0.0396744,-0.0388976
429,132.841,-0.0136078,-0.0396744,-0.0388976
430,133.21,-0.0136078,-0.0396744,-0.0388976
431,133.141,-0.0136078,-0.0396744,-0.0388976
432,133.926,-0.0136078,-0.0396744,-0.0388976
433,133.541,-0.0136078,-0.0396744,-0.0388976
434,133.057,-0.0136078,-0.0396744,-0.0388976
435,132.515,-0.0136078,-0.0396744,-0.0388976
436,132.283,-0.0136078,-0.0396744,-0.0388976
437,132.76,-0.0136078,-0.0396744,-0.0388976
438,132.575,-0.0136078,-0.0396744,-0.0388976
439,132.248,-0.0136078,-0.0396744,-0.0388976
440,133.555,-0.0136078,-0.0396744,-0.0388976
441,134.069,-0.0136078,-0.0396744,-0.0388976
442,133.662,-0.0136078,-0.0396744,-0.0388976
443,133.08,-0.0136078,-0.0396744,-0.0388976
444,132.843,-0.0136078,-0.0396744,-0.0388976
445,132.943,-0.0136078,-0.0396744,-0.0388976
446,132.14,-0.0136078,-0.0396744,-0.0388976
447,132.175,-0.0136078,-0.0396744,-0.0388976
448,133.026,-0.0136078,-0.0396744,-0.0388976
449,133.793,-0.0136078,-0.0396744,-0.0388976
450,134.199,-0.0136078,-0.0396744,-0.0388976
451,134.229,-0.0136078,-0.0396744,-0.0388976
452,134.145,-0.0136078,-0.0396744,-0.0388976
453,132.233,-0.0136078,-0.0396744,-0.0388976
454,133.862,-0.0136078,-0.0396744,-0.0388976
455,132.733,-0.0136078,-0.0396744,-0.0388976
456,134.071,-0.0136078,-0.0396744,-0.0388976
457,133.256,-0.0136078,-0.0396744,-0.0388976
458,134.075,-0.0136078,-0.0396744,-0.0388976
459,133.962,-0.0136078,-0.0396744,-0.0388976
460,134.01,-0.0136078,-0.0396744,-0.0388976
461,133.052,-0.0136078,-0.0396744,-0.0388976
462,132.87,-0.0136078,-0.0396744,-0.0388976
463,133.703,-0.0136078,-0.0396744,-0.0388976
464,132.365,-0.0136078,-0.0396744,-0.0388976
465,133.84,-0.0136078,-0.0396744,-0.0388976
466,134.13,-0.0136078,-0.0396744,-0.0388976
467,132.556,-0.0136078,-0.0396744,-0.0388976
468,132.37,-0.0136078,-0.0396744,-0.0388976
469,132.472,-0.0136078,-0.0396744,-0.0388976
470,132.711,-0.0136078,-0.0396744,-0.0388976
471,133.835,-0.0136078,-0.0396744,-0.0388976
472,132.31,-0.0136078,-0.0396744,-0.0388976
473,132.146,-0.0136078,-0.0396744,-0.0388976
474,132.685,-0.0136078,-0.0396744,-0.0388976
475,133.06,-0.0136078,-0.0396744,-0.0388976
476,132.997,-0.0136078,-0.0396744,-0.0388976
477,132.732,-0.0136078,-0.0396744,-0.0388976
478,133.144,-0.0136078,-0.0396744,-0.0388976
479,133.936,-0.0136078,-0.0396744,-0.0388976
480,132.296,-0.0136078,-0.0396744,-0.0388976
481,133.109,-0.0136078,-0.0396744,-0.0388976
482,133.93,-0.0136078,-0.0396744,-0.0388976
483,132.208,-0.0136078,-0.0396744,-0.0388976
484,133.25,-0.0136078,-0.0396744,-0.0388976
485,133.56,-0.0136078,-0.0396744,-0.0388976
486,132.849,-0.0136078,-0.0396744,-0.0388976
487,133.088,-0.0136078,-0.0396744,-0.0388976
488,132.586,-0.0136078,-0.0396744,-0.0388976
489,132.692,-0.0136078,-0.0396744,-0.0388976
490,132.818,-0.0136078,-0.0396744,-0.0388976
491,132.365,-0.0136078,-0.0396744,-0.0388976
492,133.655,-0.0136078,-0.0396744,-0.0388976
493,133.6,-0.0136078,-0.0396744,-0.0388976
494,133.978,-0.0136078,-0.0396744,-0.0388976
495,133.93,-0.0136078,-0.0396744,-0.0388976
496,133.208,-0.0136078,-0.0396744,-0.0388976
497,133.874,-0.0136078,-0.0396744,-0.0388976
498,132.255,-0.0136078,-0.0396744,-0.0388976
499,133.488,-0.0136078,-0.0396744,-0.0388976
500,132.117,-0.0136078,-0.0396744,-0.0388976
501,132.874,-0.0136078,-0.0396744,-0.0388976
502,133.091,-0.0136078,-0.0396744,-0.0388976
503,132.334,-0.0136078,-0.0396744,-0.0388976
504,132.928,-0.0136078,-0.0396744,-0.0388976
